Date,High,Low,Open,Close,Volume,Adj Close
08-05-2014,4252500,3928500,4252500,3928500,0,3928500
09-05-2014,3798900,3037500,3709800,3159000,0,3159000
12-05-2014,3280500,2835000,3223800,3280500,0,3280500
13-05-2014,3847500,3321000,3515400,3847500,0,3847500
14-05-2014,3971430,3693600,3790800,3807000,0,3807000
15-05-2014,3807000,3499200,3807000,3766500,0,3766500
16-05-2014,3831300,3507300,3831300,3507300,0,3507300
19-05-2014,3807000,3523500,3807000,3555900,0,3555900
20-05-2014,3604500,3223800,3564000,3518640,0,3518640
21-05-2014,3618270,3523500,3523500,3618270,0,3618270
22-05-2014,3628800,3483000,3628800,3483000,0,3483000
23-05-2014,3523500,3337200,3523500,3369600,0,3369600
27-05-2014,3458700,3078000,3458700,3240000,0,3240000
28-05-2014,3159000,3021300,3021300,3045600,0,3045600
29-05-2014,2952450,2843100,2916810,2916000,0,2916000
30-05-2014,2916000,2843100,2875500,2916000,0,2916000
02-06-2014,2916000,2843100,2916000,2907900,0,2907900
03-06-2014,2907900,2835000,2907900,2859300,0,2859300
04-06-2014,3636900,2847150,2859300,3612600,0,3612600
05-06-2014,3831300,3362310,3831300,3539700,0,3539700
06-06-2014,4033800,3410100,3483000,3896100,0,3896100
09-06-2014,4446900,3838590,4017600,4171500,0,4171500
10-06-2014,4284900,3896100,4212000,4236300,0,4236300
11-06-2014,4414500,4228200,4325400,4293000,0,4293000
12-06-2014,4608900,4293000,4409640,4608900,0,4608900
13-06-2014,4657500,4536000,4649400,4641300,0,4641300
16-06-2014,5030100,4333500,4698000,4673700,0,4673700
17-06-2014,4909410,4536000,4909410,4649400,0,4649400
18-06-2014,4641300,4479300,4536000,4608900,0,4608900
19-06-2014,4617000,4122900,4617000,4268700,0,4268700
20-06-2014,4365900,3045600,4171500,3045600,0,3045600
23-06-2014,3426300,3175200,3402000,3280500,0,3280500
24-06-2014,3385800,3240000,3320190,3296700,0,3296700
25-06-2014,3442500,3126600,3240000,3264300,0,3264300
